project,exp h1-precision,exp_p1 h1-precision,exp h1-recall,exp_p1 h1-recall,exp h2-precision,exp_p1 h2-precision,exp h2-recall,exp_p1 h2-recall,exp h3-precision,exp_p1 h3-precision,exp h3-recall,exp_p1 h3-recall,exp h4-precision,exp_p1 h4-precision,exp h4-recall,exp_p1 h4-recall,exp h5-precision,exp_p1 h5-precision,exp h5-recall,exp_p1 h5-recall,exp h6-precision,exp_p1 h6-precision,exp h6-recall,exp_p1 h6-recall,exp h7-precision,exp_p1 h7-precision,exp h7-recall,exp_p1 h7-recall,exp h8-precision,exp_p1 h8-precision,exp h8-recall,exp_p1 h8-recall,exp h9-precision,exp_p1 h9-precision,exp h9-recall,exp_p1 h9-recall,exp h10-precision,exp_p1 h10-precision,exp h10-recall,exp_p1 h10-recall,exp h11-precision,exp_p1 h11-precision,exp h11-recall,exp_p1 h11-recall,exp h12-precision,exp_p1 h12-precision,exp h12-recall,exp_p1 h12-recall,exp h13-precision,exp_p1 h13-precision,exp h13-recall,exp_p1 h13-recall,exp h14-precision,exp_p1 h14-precision,exp h14-recall,exp_p1 h14-recall,exp h15-precision,exp_p1 h15-precision,exp h15-recall,exp_p1 h15-recall,exp h16-precision,exp_p1 h16-precision,exp h16-recall,exp_p1 h16-recall,exp h17-precision,exp_p1 h17-precision,exp h17-recall,exp_p1 h17-recall,exp h18-precision,exp_p1 h18-precision,exp h18-recall,exp_p1 h18-recall,exp h19-precision,exp_p1 h19-precision,exp h19-recall,exp_p1 h19-recall,exp h20-precision,exp_p1 h20-precision,exp h20-recall,exp_p1 h20-recall
pwntools,95.6778%,92.8333%,2.2967%,2.6269%,87.2299%,83.6667%,3.7361%,4.2242%,78.3890%,74.8333%,5.3485%,6.0188%,66.2083%,63.0000%,6.8026%,7.6302%,55.9921%,53.1667%,9.1876%,10.2837%,44.5972%,42.5000%,11.2265%,12.6113%,37.7210%,35.8333%,13.9942%,15.6706%,33.2024%,31.1667%,17.6409%,19.5198%,28.4872%,26.6667%,19.9176%,21.9780%,23.5756%,22.1667%,21.9780%,24.3590%,19.4499%,18.5000%,22.5000%,25.2273%,14.5383%,14.0000%,22.5610%,25.6098%,11.7878%,11.5000%,21.7391%,25.0000%,9.6267%,9.5000%,24.0196%,27.9412%,8.0550%,8.1667%,25.0000%,29.8780%,6.2868%,6.5000%,23.8806%,29.1045%,5.3045%,5.1667%,24.5455%,28.1818%,4.3222%,4.3333%,26.1905%,30.9524%,3.9293%,3.8333%,29.4118%,33.8235%,2.7505%,2.8333%,30.4348%,36.9565%
pyalgotrade,91.6905%,91.4397%,1.1665%,1.7133%,81.9484%,80.5447%,1.1523%,1.6680%,77.0774%,72.9572%,1.2374%,1.7249%,68.7679%,65.7588%,1.3681%,1.9268%,59.8854%,57.5875%,1.6839%,2.3848%,49.8567%,48.0545%,2.4315%,3.4516%,40.4011%,39.8833%,3.3068%,4.8077%,29.5129%,29.7665%,3.7840%,5.6209%,21.4900%,22.1790%,3.8071%,5.7868%,15.7593%,16.3424%,5.0459%,7.7064%,12.8940%,13.0350%,6.8807%,10.2446%,10.0287%,10.3113%,8.4135%,12.7404%,8.3095%,8.5603%,10.8209%,16.4179%,7.1633%,7.5875%,12.1359%,18.9320%,6.0172%,5.8366%,14.7887%,21.1268%,4.5845%,4.2802%,16.3265%,22.4490%,2.8653%,3.1128%,14.7059%,23.5294%,2.2923%,2.7237%,14.2857%,25.0000%,1.7192%,2.3346%,13.0435%,26.0870%,1.7192%,1.9455%,16.6667%,27.7778%
PyChecker,66.8966%,60.0000%,8.8182%,10.3636%,40.6897%,37.3684%,19.5364%,23.5099%,26.2069%,24.7368%,22.8916%,28.3133%,20.6897%,18.4211%,25.4237%,29.6610%,15.8621%,14.2105%,28.7500%,33.7500%,8.9655%,8.9474%,25.0000%,32.6923%,8.9655%,8.9474%,29.5455%,38.6364%,7.5862%,7.8947%,30.5556%,41.6667%,6.8966%,7.3684%,33.3333%,46.6667%,6.2069%,6.8421%,32.1429%,46.4286%,4.8276%,5.7895%,31.8182%,50.0000%,4.8276%,5.7895%,31.8182%,50.0000%,4.1379%,5.2632%,30.0000%,50.0000%,4.1379%,5.2632%,30.0000%,50.0000%,3.4483%,4.2105%,31.2500%,50.0000%,2.7586%,3.6842%,28.5714%,50.0000%,2.0690%,2.6316%,25.0000%,41.6667%,2.0690%,2.6316%,25.0000%,41.6667%,2.0690%,2.6316%,25.0000%,41.6667%,2.0690%,2.6316%,25.0000%,41.6667%
pydantic,82.8685%,74.7851%,1.4335%,1.7988%,65.3386%,57.0201%,2.4225%,2.9394%,55.3785%,48.4241%,15.3422%,18.6534%,47.4104%,41.5473%,18.2515%,22.2393%,42.6295%,36.9628%,21.6599%,26.1134%,35.4582%,30.9456%,23.5450%,28.5714%,32.6693%,28.0802%,25.7862%,30.8176%,29.8805%,25.7880%,27.5735%,33.0882%,27.0916%,23.2092%,29.0598%,34.6154%,25.4980%,22.0630%,31.3725%,37.7451%,23.9044%,20.9169%,32.6087%,39.6739%,21.9124%,19.1977%,35.7143%,43.5065%,20.7171%,18.0516%,36.1111%,43.7500%,19.1235%,16.9054%,38.0952%,46.8254%,17.1315%,15.4728%,37.0690%,46.5517%,15.5378%,14.0401%,37.5000%,47.1154%,15.1394%,13.4670%,38.7755%,47.9592%,14.7410%,13.1805%,41.1111%,51.1111%,13.5458%,12.3209%,40.4762%,51.1905%,13.1474%,11.4613%,42.3077%,51.2821%
pyecharts,87.1560%,88.1313%,3.6103%,4.4211%,67.2783%,68.6869%,4.7640%,5.8900%,53.2110%,52.7778%,5.2823%,6.3449%,39.7554%,38.8889%,5.1262%,6.0726%,35.1682%,33.8384%,5.4762%,6.3810%,32.7217%,31.5657%,5.7158%,6.6774%,27.2171%,26.2626%,5.2976%,6.1905%,22.6300%,21.7172%,4.9202%,5.7181%,19.5719%,18.6869%,4.8120%,5.5639%,18.6544%,17.4242%,5.0497%,5.7119%,17.1254%,15.4040%,5.0360%,5.4856%,14.6789%,13.1313%,4.7525%,5.1485%,13.7615%,12.1212%,4.7974%,5.1173%,11.0092%,9.8485%,4.1958%,4.5455%,10.7034%,9.5960%,4.5220%,4.9096%,10.0917%,9.0909%,4.7414%,5.1724%,9.7859%,8.5859%,4.9844%,5.2960%,9.4801%,8.3333%,5.2013%,5.5369%,9.1743%,8.0808%,5.3191%,5.6738%,8.8685%,7.8283%,5.3309%,5.6985%
pygments-main,95.6250%,95.1743%,1.0828%,1.2561%,84.3750%,83.5121%,1.4231%,1.6418%,52.1875%,50.6702%,2.7177%,3.0757%,34.6875%,33.9142%,2.6385%,3.0069%,29.2188%,28.2842%,2.6684%,3.0108%,26.5625%,25.3351%,2.8745%,3.1958%,24.8438%,23.5925%,2.8352%,3.1384%,23.2813%,22.1180%,2.9412%,3.2570%,20.0000%,18.6327%,3.7493%,4.0715%,18.4375%,17.0241%,4.3834%,4.7177%,17.0313%,15.5496%,4.9545%,5.2727%,15.4688%,14.0751%,5.6571%,6.0000%,10.7813%,9.9196%,6.0000%,6.4348%,8.7500%,8.0429%,6.6508%,7.1259%,6.5625%,6.1662%,7.1672%,7.8498%,4.8438%,4.6917%,8.0729%,9.1146%,3.1250%,3.0831%,7.2464%,8.3333%,2.3438%,2.4129%,7.0755%,8.4906%,1.4063%,1.6086%,5.6962%,7.5949%,1.0938%,1.2064%,5.2239%,6.7164%
pyinstaller,95.8904%,95.8225%,0.2401%,0.2797%,70.0152%,72.0627%,0.3058%,0.3669%,61.0350%,61.6188%,0.3511%,0.4132%,58.7519%,58.3551%,0.3420%,0.3961%,56.9254%,52.6110%,0.3641%,0.3923%,54.6423%,49.7389%,0.3937%,0.4178%,51.4460%,46.6057%,0.5690%,0.6009%,43.0746%,39.1645%,1.2620%,1.3379%,27.7017%,24.8042%,4.0625%,4.2411%,19.7869%,17.4935%,6.9002%,7.1125%,15.0685%,13.4465%,8.6538%,9.0035%,9.5890%,8.6162%,9.0517%,9.4828%,6.8493%,6.1358%,10.0446%,10.4911%,5.0228%,4.5692%,8.5052%,9.0206%,3.6530%,3.2637%,19.3548%,20.1613%,2.7397%,2.4804%,19.5652%,20.6522%,1.9787%,1.8277%,18.0556%,19.4444%,1.6743%,1.5666%,19.6429%,21.4286%,1.3699%,1.3055%,18.0000%,20.0000%,1.2177%,1.1749%,17.3913%,19.5652%
pyjwt,100.0000%,100.0000%,12.6984%,12.6984%,89.5833%,89.5833%,15.9259%,15.9259%,64.5833%,64.5833%,18.0233%,18.0233%,54.1667%,54.1667%,20.3125%,20.3125%,43.7500%,43.7500%,23.3333%,23.3333%,33.3333%,33.3333%,24.2424%,24.2424%,31.2500%,31.2500%,27.7778%,27.7778%,25.0000%,25.0000%,30.0000%,30.0000%,22.9167%,22.9167%,30.5556%,30.5556%,16.6667%,16.6667%,26.6667%,26.6667%,14.5833%,14.5833%,25.0000%,25.0000%,10.4167%,10.4167%,27.7778%,27.7778%,10.4167%,10.4167%,31.2500%,31.2500%,8.3333%,8.3333%,28.5714%,28.5714%,8.3333%,8.3333%,33.3333%,33.3333%,8.3333%,8.3333%,33.3333%,33.3333%,8.3333%,8.3333%,40.0000%,40.0000%,8.3333%,8.3333%,40.0000%,40.0000%,8.3333%,8.3333%,40.0000%,40.0000%,8.3333%,8.3333%,40.0000%,40.0000%
pylint,86.0544%,80.3797%,0.3275%,0.4932%,66.3265%,63.9241%,1.1837%,1.8393%,62.2449%,60.5485%,1.9345%,3.0338%,59.5238%,58.2278%,2.1875%,3.4500%,57.8231%,56.1181%,2.4369%,3.8131%,53.4014%,50.2110%,2.8483%,4.3179%,49.3197%,45.1477%,3.4376%,5.0735%,36.7347%,33.9662%,4.4963%,6.7027%,25.1701%,24.2616%,5.2857%,8.2143%,18.3673%,17.0886%,6.6832%,10.0248%,12.9252%,12.2363%,7.6305%,11.6466%,9.1837%,8.8608%,9.0000%,14.0000%,7.4830%,7.3840%,9.9099%,15.7658%,7.1429%,5.9072%,12.5000%,16.6667%,6.8027%,5.4852%,13.8889%,18.0556%,5.4422%,4.0084%,14.2857%,16.9643%,4.4218%,3.1646%,14.4444%,16.6667%,3.7415%,2.5316%,17.1875%,18.7500%,2.7211%,1.8987%,15.3846%,17.3077%,2.7211%,1.8987%,19.0476%,21.4286%
PyMySQL,98.7500%,99.0654%,5.7413%,7.7035%,82.5000%,86.9159%,9.1160%,12.8453%,67.5000%,73.8318%,13.4328%,19.6517%,52.5000%,57.0093%,16.4063%,23.8281%,36.2500%,41.1215%,18.8312%,28.5714%,26.2500%,30.8411%,20.1923%,31.7308%,20.0000%,22.4299%,20.0000%,30.0000%,16.2500%,18.6916%,24.0741%,37.0370%,16.2500%,16.8224%,29.5455%,40.9091%,11.2500%,13.0841%,26.4706%,41.1765%,10.0000%,11.2150%,26.6667%,40.0000%,8.7500%,10.2804%,29.1667%,45.8333%,7.5000%,9.3458%,27.2727%,45.4545%,7.5000%,9.3458%,27.2727%,45.4545%,7.5000%,8.4112%,33.3333%,50.0000%,7.5000%,8.4112%,33.3333%,50.0000%,6.2500%,7.4766%,31.2500%,50.0000%,3.7500%,5.6075%,25.0000%,50.0000%,3.7500%,5.6075%,25.0000%,50.0000%,2.5000%,4.6729%,25.0000%,62.5000%
pyppeteer,75.4098%,68.0473%,7.5286%,9.4108%,55.7377%,50.8876%,10.4615%,13.2308%,51.6393%,46.7456%,14.1256%,17.7130%,49.1803%,42.6036%,19.3548%,23.2258%,37.7049%,34.3195%,21.1009%,26.6055%,28.6885%,26.0355%,23.0263%,28.9474%,26.2295%,24.2604%,26.2295%,33.6066%,22.9508%,21.3018%,27.4510%,35.2941%,19.6721%,18.9349%,28.5714%,38.0952%,15.5738%,14.7929%,31.6667%,41.6667%,10.6557%,10.0592%,28.2609%,36.9565%,10.6557%,10.0592%,34.2105%,44.7368%,9.8361%,9.4675%,33.3333%,44.4444%,9.0164%,8.8757%,32.3529%,44.1176%,5.7377%,5.3254%,29.1667%,37.5000%,4.9180%,4.7337%,27.2727%,36.3636%,4.9180%,4.7337%,30.0000%,40.0000%,4.0984%,4.1420%,27.7778%,38.8889%,4.0984%,4.1420%,27.7778%,38.8889%,4.0984%,4.1420%,27.7778%,38.8889%
pyspider,84.7716%,81.5789%,3.4533%,4.4872%,73.0964%,69.9248%,5.1724%,6.6810%,44.6701%,43.2331%,7.2250%,9.4417%,29.4416%,26.6917%,9.3548%,11.4516%,19.7970%,19.1729%,11.9632%,15.6442%,13.7056%,14.2857%,13.9175%,19.5876%,11.6751%,12.0301%,16.9118%,23.5294%,10.1523%,10.1504%,18.8679%,25.4717%,8.6294%,7.8947%,22.9730%,28.3784%,6.0914%,5.6391%,24.0000%,30.0000%,4.5685%,4.1353%,25.0000%,30.5556%,4.0609%,3.7594%,28.5714%,35.7143%,3.5533%,3.3835%,26.9231%,34.6154%,2.5381%,2.6316%,22.7273%,31.8182%,2.0305%,1.8797%,25.0000%,31.2500%,2.0305%,1.8797%,25.0000%,31.2500%,1.5228%,1.1278%,30.0000%,30.0000%,1.5228%,1.1278%,30.0000%,30.0000%,1.0152%,0.7519%,33.3333%,33.3333%,1.0152%,0.7519%,50.0000%,50.0000%
pyTelegramBotAPI,78.5714%,78.0488%,7.0694%,8.2262%,61.4286%,62.1951%,11.6848%,13.8587%,50.0000%,51.2195%,12.5899%,15.1079%,38.5714%,36.5854%,19.8529%,22.0588%,27.1429%,25.6098%,27.1429%,30.0000%,22.8571%,21.9512%,36.3636%,40.9091%,20.0000%,19.5122%,41.1765%,47.0588%,18.5714%,18.2927%,46.4286%,53.5714%,17.1429%,17.0732%,46.1538%,53.8462%,17.1429%,17.0732%,46.1538%,53.8462%,14.2857%,14.6341%,41.6667%,50.0000%,12.8571%,12.1951%,45.0000%,50.0000%,12.8571%,12.1951%,45.0000%,50.0000%,12.8571%,12.1951%,50.0000%,55.5556%,12.8571%,12.1951%,50.0000%,55.5556%,12.8571%,12.1951%,50.0000%,55.5556%,12.8571%,12.1951%,56.2500%,62.5000%,11.4286%,10.9756%,57.1429%,64.2857%,11.4286%,10.9756%,57.1429%,64.2857%,11.4286%,10.9756%,57.1429%,64.2857%
pytest,89.4309%,85.4932%,1.8018%,3.6200%,53.2520%,45.6480%,2.9047%,5.2328%,26.0163%,20.5029%,2.5806%,4.2742%,15.4472%,11.9923%,2.1088%,3.4406%,9.3496%,6.7698%,1.5374%,2.3396%,6.0976%,4.8356%,1.1905%,1.9841%,3.6585%,3.6750%,0.8523%,1.7992%,1.6260%,2.1277%,0.4587%,1.2615%,0.8130%,0.9671%,0.2915%,0.7289%,0.8130%,0.9671%,0.3623%,0.9058%,0.8130%,0.9671%,0.4651%,1.1628%,0.8130%,0.9671%,0.5814%,1.4535%,0.8130%,0.9671%,0.7143%,1.7857%,0.8130%,0.9671%,0.8621%,2.1552%,0.8130%,0.9671%,1.1364%,2.8409%,0.8130%,0.9671%,1.3514%,3.3784%,0.8130%,0.9671%,1.7857%,4.4643%,0.8130%,0.9671%,2.0833%,5.2083%,0.8130%,0.9671%,2.8571%,7.1429%,0.4065%,0.5803%,2.0833%,6.2500%
pytext,61.7695%,59.9110%,4.3287%,4.6387%,34.1344%,33.0203%,11.1329%,11.8988%,19.6614%,19.3772%,18.2741%,19.8985%,11.4145%,11.2704%,23.8041%,25.9681%,7.5915%,7.3653%,29.2017%,31.3025%,5.1884%,4.9926%,32.3129%,34.3537%,3.7138%,3.5591%,35.0515%,37.1134%,2.7307%,2.5704%,37.3134%,38.8060%,2.3484%,2.2244%,39.8148%,41.6667%,2.1300%,2.0267%,43.3333%,45.5556%,1.8023%,1.7301%,42.3077%,44.8718%,1.6384%,1.5818%,42.8571%,45.7143%,1.3108%,1.2358%,46.1538%,48.0769%,0.9285%,0.8403%,44.7368%,44.7368%,0.7646%,0.6920%,43.7500%,43.7500%,0.6554%,0.5932%,50.0000%,50.0000%,0.6008%,0.5437%,50.0000%,50.0000%,0.5461%,0.4943%,50.0000%,50.0000%,0.4915%,0.4449%,50.0000%,50.0000%,0.4915%,0.4449%,50.0000%,50.0000%
pythondotorg,77.6923%,74.6753%,2.3059%,2.6256%,44.2308%,41.8831%,6.4825%,7.2717%,28.8462%,27.2727%,11.4679%,12.8440%,20.0000%,18.8312%,12.8713%,14.3564%,15.3846%,14.6104%,13.3333%,15.0000%,10.7692%,10.0649%,19.1781%,21.2329%,9.6154%,8.7662%,21.9298%,23.6842%,6.5385%,5.5195%,32.6923%,32.6923%,5.0000%,4.2208%,36.1111%,36.1111%,3.4615%,2.9221%,37.5000%,37.5000%,1.9231%,1.6234%,31.2500%,31.2500%,1.5385%,1.2987%,28.5714%,28.5714%,1.5385%,1.2987%,33.3333%,33.3333%,1.1538%,0.9740%,30.0000%,30.0000%,0.7692%,0.6494%,25.0000%,25.0000%,0.7692%,0.6494%,25.0000%,25.0000%,0.7692%,0.6494%,25.0000%,25.0000%,0.7692%,0.6494%,25.0000%,25.0000%,0.3846%,0.3247%,25.0000%,25.0000%,0.3846%,0.3247%,25.0000%,25.0000%
python-for-android,81.3704%,84.0136%,1.7117%,2.2252%,60.5996%,64.2857%,3.0882%,4.1248%,33.8330%,38.4354%,5.4258%,7.7610%,22.0557%,25.3401%,9.6805%,14.0038%,14.3469%,17.3469%,13.7860%,20.9877%,10.4925%,13.0952%,16.5541%,26.0135%,7.0664%,9.6939%,17.3684%,30.0000%,5.7816%,8.1633%,19.0141%,33.8028%,4.4968%,6.1224%,22.8261%,39.1304%,3.4261%,5.1020%,24.2424%,45.4545%,2.7837%,4.2517%,25.0000%,48.0769%,2.7837%,4.2517%,27.0833%,52.0833%,2.1413%,3.2313%,31.2500%,59.3750%,1.9272%,3.0612%,34.6154%,69.2308%,1.9272%,2.8912%,37.5000%,70.8333%,1.7131%,2.7211%,36.3636%,72.7273%,1.4989%,2.0408%,38.8889%,66.6667%,1.2848%,1.5306%,42.8571%,64.2857%,1.0707%,1.1905%,41.6667%,58.3333%,1.0707%,1.1905%,41.6667%,58.3333%
