project,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20
ipython,26688,10212,4680,2598,1560,976,708,530,398,306,226,186,148,138,114,94,80,66,58,52
isort,1874,608,344,234,192,158,112,72,62,48,44,40,34,28,24,24,22,18,14,12
jax,28378,11992,6324,4100,2920,2230,1740,1312,1064,864,722,626,554,492,430,380,340,298,250,214
jieba,1440,936,574,278,128,92,64,40,22,20,18,16,12,12,10,8,8,8,8,8
jsonschema,470,300,230,172,112,94,76,68,58,50,42,40,36,34,28,24,20,12,12,10
jumpserver,65296,14700,6266,3202,1958,1312,910,616,432,332,264,214,168,138,112,90,74,66,58,48
kafka-python,6142,2374,824,520,348,242,174,140,118,98,74,54,44,38,38,32,30,26,22,22
KaraKara,1774,1038,668,354,214,158,118,76,60,48,38,32,30,28,24,22,16,14,10,8
keras,12920,6856,3864,2382,1630,1144,864,660,524,422,344,290,258,220,200,190,170,160,136,120
keras-retinanet,1628,796,472,264,174,142,114,78,56,48,42,28,22,22,16,12,10,10,8,6
kinto,27110,21730,16132,12234,8668,6158,4248,2950,1954,1276,820,540,348,226,154,112,88,66,60,50
kitty,9732,4046,2122,936,646,436,340,284,238,210,170,134,114,100,88,78,70,58,52,52
kivy,74670,30470,14214,8066,4918,3072,2066,1392,964,678,488,352,280,220,188,134,102,78,66,50
koalas,4286,2100,1306,930,744,566,462,370,320,290,252,232,218,208,186,178,174,166,160,152
kornia,45422,37124,23470,15462,7508,3754,2044,1198,690,412,290,212,144,96,68,56,40,32,28,20
labelme,1386,404,142,74,42,32,22,20,16,16,12,12,8,8,6,6,4,4,4,4
Lasagne,1576,730,372,246,196,144,98,80,66,58,56,50,42,34,32,30,30,18,16,14
lbry-sdk,52288,5536,1464,706,410,250,188,134,108,78,68,48,36,26,24,20,20,20,18,12
lektor,5084,2916,1504,774,508,292,178,120,78,50,36,28,26,18,8,4,2,2,2,2
libcloud,31016,9032,4466,2154,1368,930,656,474,364,258,172,130,102,70,62,56,48,42,40,34
linkchecker,24488,11170,6028,5018,3928,2822,2010,1498,1132,886,680,524,400,332,274,226,194,156,140,128
localstack,29650,7292,3420,2196,1574,1158,882,710,582,490,380,322,272,240,214,198,166,152,138,130
locust,4014,2002,1148,742,516,386,310,260,220,182,152,136,120,104,96,92,82,72,68,62
loguru,14898,4180,732,340,222,160,114,86,68,46,36,36,34,30,26,22,20,20,18,14
luigi,17414,9500,5908,3404,1958,1184,796,552,416,296,234,186,158,122,102,90,80,72,62,58
lutris,11684,5084,2910,2024,1532,1290,1146,946,782,684,634,572,538,508,476,428,394,360,324,280
magenta,98466,82204,76060,74304,62074,44122,26940,12752,5656,2574,1160,624,406,246,170,88,48,34,28,14
magic-wormhole,3590,1110,590,394,298,210,180,146,120,86,60,54,40,28,16,10,8,8,8,8
mailinabox,158,92,60,56,46,42,38,24,24,20,20,18,16,12,12,12,6,4,4,4
Mailpile,10564,3308,1778,1130,806,560,450,358,288,230,184,148,136,116,102,90,80,76,68,56
maltrail,6958,5740,5422,5272,4982,4974,3970,3372,2326,1296,826,440,166,96,72,62,60,56,46,38
manim,4824,4348,1488,562,236,138,96,62,48,40,32,22,20,18,14,14,10,8,8,6
matplotlib,102562,59230,45122,39332,24804,14572,9338,6404,4682,3604,2918,2384,2050,1778,1600,1452,1284,1178,1070,978
meshroom,2692,1366,876,608,310,204,152,128,124,114,86,58,40,32,24,20,12,10,8,4
mindsdb,32726,32156,14478,12348,7616,1856,1204,686,556,296,238,192,164,128,102,92,74,68,56,50
mininet,4650,2724,1590,836,530,342,170,102,66,54,36,26,22,22,20,20,20,20,18,18
mitmproxy,33796,8776,4062,2116,1256,770,510,362,244,198,158,134,106,86,66,58,48,38,30,22
mkdocs,1824,1090,656,386,216,154,108,78,60,42,40,32,20,14,6,6,6,6,6,4
mlflow,108536,25942,9844,4906,2940,1970,1378,1028,784,614,500,408,356,288,224,204,182,160,136,118
mlxtend,33144,32624,30946,28858,21422,16502,6820,3452,1416,1036,746,538,316,188,112,76,46,34,30,26
mongo-python-driver,14826,9584,6638,4902,3628,2880,2344,1956,1626,1376,1206,1054,974,878,796,746,666,598,546,496
monkey,191378,99386,73896,35764,16568,7516,3844,2392,1596,1040,626,372,274,200,142,104,84,62,36,30
mopidy,15772,14490,9920,5860,3238,1814,1066,708,430,268,214,162,128,110,88,70,60,48,42,34
moto,591262,245920,105706,47562,23978,12934,7828,5140,3444,2448,1772,1370,1048,830,708,576,480,420,360,294
moviepy,11730,9698,8030,6200,4586,3040,1960,1296,846,614,438,326,262,216,170,134,112,90,80,66
mwlib,17092,9014,3104,792,376,206,136,90,58,46,36,30,28,22,16,10,8,6,6,6
mycli,2144,1012,576,318,170,120,82,52,36,30,26,14,12,12,12,8,8,8,8,8
