project,Url,Description,Files,Loc,Commit,IssueCommit,Committer,IssueCommiter,PyFiles,PyLoc,AvgLoCPerFile
speech_recognition,https://github.com/Uberi/speech_recognition,"Speech recognition module for Python, supporting several engines and APIs, online and offline.speech_recognition",18,1637,293,3,43,2,16,1595,99.6875
speedtest-cli,https://github.com/sivel/speedtest-cli,Command line interface for testing internet bandwidth using speedtest.netspeedtest-cli,3,340,181,24,4,2,3,340,113.3333333
sphinx,https://github.com/sphinx-doc/sphinx,Main repository for the Sphinx documentation buildersphinx,662,102202,10790,3263,584,161,396,54194,136.8535354
spiderfoot,https://github.com/smicallef/spiderfoot,SpiderFoot automates OSINT for threat intelligence and mapping your attack surface.spiderfoot,510,50926,2263,384,40,16,482,51793,107.4543568
splash,https://github.com/scrapinghub/splash,splash,171,19159,1633,40,61,13,96,15717,163.71875
spleeter,https://github.com/deezer/spleeter,spleeter,45,3032,243,0,17,0,29,2448,84.4137931
spotipy,https://github.com/plamere/spotipy,A light weight Python library for the Spotify Web APIspotipy,66,4394,417,110,143,61,62,4065,65.56451613
spyder,https://github.com/spyder-ide/spyder,Official repository for Spyder - The Scientific Python Development Environmentspyder,1832,148614,7930,86,155,33,731,128346,175.5759234
sqlalchemy,https://github.com/zzzeek/sqlalchemy,The Database Toolkit for Pythonsqlalchemy,591,327379,9919,2194,507,194,446,246571,552.8497758
sqlmap,https://github.com/sqlmapproject/sqlmap,Automatic SQL injection and database takeover toolsqlmap,473,67700,8398,2138,89,40,409,50568,123.6381418
ssd.pytorch,https://github.com/amdegroot/ssd.pytorch,A PyTorch Implementation of Single Shot MultiBox Detectorssd.pytorch,19,1629,146,10,15,7,19,1629,85.73684211
ssh-audit,https://github.com/arthepsy/ssh-audit,"SSH server auditing (banner, key exchange, encryption, mac, compression, compatibility, security, etc)ssh-audit",11,3053,155,6,4,2,11,3053,277.5454545
sshuttle,https://github.com/apenwarr/sshuttle,Wrong project!  You should head over to http://github.com/sshuttle/sshuttlesshuttle,25,4186,128,19,11,6,25,4186,167.44
statsmodels,https://github.com/statsmodels/statsmodels,Statsmodels: statistical modeling and econometrics in Pythonstatsmodels,1101,244881,7787,736,327,70,1021,234884,230.0528893
statuspage,https://github.com/jayfk/statuspage,A statuspage generator that lets you host your statuspage for free on Github.statuspage,3,488,128,8,14,2,3,488,162.6666667
stellar,https://github.com/fastmonkeys/stellar,Fast database snapshot and restore tool for developmentstellar,11,870,156,9,13,4,11,870,79.09090909
