project,p_avg_exp_authornum,p_avg_pos_authornum,p_avg_both_authornum,p_avg_exp_issuenum,p_avg_pos_issuenum,p_avg_both_issuenum,p_avg_exp_changecmt,p_avg_pos_changecmt,p_avg_both_changecmt,p_avg_exp_changeloc,p_avg_pos_changeloc,p_avg_both_changeloc,p_avg_exp_bugcmt,p_avg_pos_bugcmt,p_avg_both_bugcmt,p_avg_exp_bugloc,p_avg_pos_bugloc,p_avg_both_bugloc
numpy-ml,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
objection,2.4782608695652173,4.666666666666667,6.0,3.739130434782609,6.666666666666667,10.25,18.695652173913043,21.0,40.25,438.6521739130435,454.3333333333333,685.5,3.782608695652174,6.666666666666667,10.5,35.91304347826087,56.0,69.0
OCRmyPDF,1.5084745762711864,1.8181818181818181,1.9047619047619047,2.0847457627118646,3.9545454545454546,3.7142857142857144,32.932203389830505,53.59090909090909,47.76190476190476,678.7966101694915,1185.409090909091,1091.142857142857,2.135593220338983,4.090909090909091,3.8095238095238093,34.33898305084746,61.77272727272727,61.666666666666664
OctoPrint,5.395209580838324,6.872340425531915,7.296296296296297,6.676646706586826,10.414893617021276,12.0,41.8502994011976,60.3936170212766,69.34567901234568,1657.5688622754492,2477.4893617021276,2925.925925925926,7.485029940119761,11.712765957446809,13.481481481481481,161.10179640718562,264.8191489361702,315.85185185185185
ODM,2.871794871794872,4.5,2.5,1.1025641025641026,2.6666666666666665,1.4444444444444444,34.256410256410255,64.66666666666667,31.833333333333332,748.8974358974359,1588.5833333333333,586.5555555555555,1.1282051282051282,2.75,1.4444444444444444,7.589743589743589,18.5,10.0
offlineimap,12.625,14.2,16.22222222222222,2.71875,3.16,4.0,59.15625,65.52,77.5,963.96875,1157.0,1345.7777777777778,3.3125,3.88,4.944444444444445,49.03125,58.6,77.05555555555556
OneForAll,1.5633802816901408,1.3432835820895523,1.8076923076923077,0.18309859154929578,0.13432835820895522,0.23076923076923078,12.126760563380282,10.238805970149254,17.192307692307693,134.94366197183098,91.56716417910448,257.8076923076923,0.19718309859154928,0.14925373134328357,0.23076923076923078,1.6619718309859155,1.2686567164179106,1.9615384615384615
onionshare,2.9782608695652173,3.116279069767442,3.357142857142857,0.08695652173913043,0.09302325581395349,0.10714285714285714,10.76086956521739,11.162790697674419,12.642857142857142,258.9782608695652,268.6046511627907,319.92857142857144,0.10869565217391304,0.11627906976744186,0.10714285714285714,0.41304347826086957,0.4418604651162791,0.5357142857142857
openage,3.070588235294118,3.2666666666666666,2.558139534883721,0.3176470588235294,0.28888888888888886,0.09302325581395349,7.364705882352941,9.71111111111111,6.372093023255814,353.2352941176471,392.6666666666667,512.3720930232558,0.3764705882352941,0.35555555555555557,0.11627906976744186,23.941176470588236,26.822222222222223,18.069767441860463
OpenNMT-py,8.31081081081081,8.409090909090908,9.61111111111111,11.202702702702704,13.0,17.27777777777778,25.756756756756758,23.477272727272727,31.88888888888889,652.1486486486486,694.7272727272727,984.1111111111111,11.41891891891892,13.295454545454545,17.833333333333332,337.8783783783784,457.54545454545456,648.6666666666666
oppia,12.63016157989228,17.008333333333333,17.6,36.69658886894075,53.416666666666664,55.02962962962963,34.99102333931777,55.00833333333333,57.71111111111111,1411.3464991023338,1976.3583333333333,1932.6666666666667,41.56193895870736,61.49166666666667,62.762962962962966,1864.8420107719928,2619.45,2371.822222222222
optuna,10.26923076923077,11.308823529411764,11.591836734693878,0.4076923076923077,0.5,0.3673469387755102,39.93846153846154,50.970588235294116,56.55102040816327,716.0615384615385,1015.5735294117648,1151.9795918367347,0.43846153846153846,0.5147058823529411,0.40816326530612246,5.3,7.235294117647059,3.693877551020408
osmnx,6.434782608695652,NA,NA,1.2173913043478262,NA,NA,71.52173913043478,NA,NA,2113.478260869565,NA,NA,1.2608695652173914,NA,NA,112.43478260869566,NA,NA
P4wnP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
package_control,1.8111111111111111,2.2,2.391304347826087,0.45555555555555555,0.76,0.8695652173913043,15.5,24.04,19.73913043478261,419.5111111111111,681.48,647.9130434782609,0.4666666666666667,0.8,0.9130434782608695,5.766666666666667,6.92,10.695652173913043
Paddle,7.384471468662301,8.753535353535353,9.164810690423163,13.331150608044902,17.68888888888889,18.43207126948775,15.895229186155285,21.498989898989898,22.54120267260579,623.1749298409728,964.8848484848485,960.5790645879732,13.550046772684752,17.993939393939392,18.75946547884187,625.0168381665108,957.8888888888889,956.706013363029
PaddleDetection,3.5167464114832536,3.809090909090909,6.176470588235294,6.980861244019139,8.872727272727273,21.41176470588235,6.712918660287081,8.563636363636364,20.41176470588235,236.94258373205741,328.1454545454545,400.47058823529414,7.014354066985646,8.918181818181818,21.647058823529413,308.2488038277512,430.8818181818182,1026.2941176470588
PaddleHub,3.0549450549450547,3.0392156862745097,3.466666666666667,2.7032967032967035,2.803921568627451,4.0,9.978021978021978,10.96078431372549,20.066666666666666,398.2857142857143,556.4117647058823,704.0666666666667,2.7032967032967035,2.803921568627451,4.0,89.68131868131869,148.05882352941177,111.06666666666666
PaddleOCR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pandas,14.44106463878327,17.07712765957447,26.81168831168831,40.553231939163496,48.375,80.24675324675324,42.849809885931556,50.305851063829785,89.01948051948052,1643.2205323193916,1985.6170212765958,3307.090909090909,44.92965779467681,53.547872340425535,89.33116883116882,1845.5950570342206,2280.223404255319,3622.0974025974024
