project,p_avg_exp_authornum,p_avg_pos_authornum,p_avg_both_authornum,p_avg_exp_issuenum,p_avg_pos_issuenum,p_avg_both_issuenum,p_avg_exp_changecmt,p_avg_pos_changecmt,p_avg_both_changecmt,p_avg_exp_changeloc,p_avg_pos_changeloc,p_avg_both_changeloc,p_avg_exp_bugcmt,p_avg_pos_bugcmt,p_avg_both_bugcmt,p_avg_exp_bugloc,p_avg_pos_bugloc,p_avg_both_bugloc
12306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriculture_KnowledgeGraph,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
keras,14.729411764705882,15.058823529411764,20.846153846153847,16.576470588235296,17.08823529411765,25.28205128205128,37.68235294117647,39.794117647058826,57.56410256410256,1403.5764705882352,1506.8676470588234,2386.4102564102564,17.376470588235293,18.044117647058822,26.76923076923077,785.4235294117647,844.2205882352941,1322.8974358974358
keras-retinanet,11.3,11.777777777777779,16.333333333333332,1.9,2.0,2.6666666666666665,44.0,44.0,60.166666666666664,720.9,685.5555555555555,938.6666666666666,2.0,2.111111111111111,2.8333333333333335,71.1,78.77777777777777,77.83333333333333
keras-rl,5.1,5.333333333333333,7.4,6.5,6.666666666666667,10.0,17.7,18.77777777777778,29.6,634.5,671.3333333333334,1171.6,6.7,6.888888888888889,10.4,228.4,221.33333333333334,382.4
kibble,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kinto,6.023809523809524,6.264705882352941,6.260869565217392,6.333333333333333,6.852941176470588,6.391304347826087,35.976190476190474,39.38235294117647,37.65217391304348,790.5952380952381,872.8529411764706,827.2173913043479,6.761904761904762,7.323529411764706,6.826086956521739,168.66666666666666,183.97058823529412,196.69565217391303
kitty,3.3,3.6451612903225805,3.793103448275862,11.3,13.709677419354838,14.379310344827585,67.175,78.96774193548387,82.72413793103448,1399.375,1624.5483870967741,1705.896551724138,11.525,14.0,14.689655172413794,135.625,165.2258064516129,176.0
kivy,14.458823529411765,16.421875,18.923076923076923,7.317647058823529,8.859375,10.557692307692308,48.34117647058824,57.609375,68.88461538461539,1296.1882352941177,1606.59375,1871.2692307692307,7.552941176470588,9.140625,10.865384615384615,184.95294117647057,234.75,269.0576923076923
knowledge-repo,3.5714285714285716,4.2,3.0,3.5714285714285716,4.8,3.0,10.0,12.4,9.333333333333334,256.14285714285717,305.4,291.0,3.5714285714285716,4.8,3.0,78.28571428571429,100.4,56.333333333333336
koalas,8.2,8.703703703703704,10.9,95.96666666666667,102.92592592592592,139.05,75.8,81.11111111111111,109.8,3560.366666666667,3866.5555555555557,5198.05,112.63333333333334,121.37037037037037,163.05,4799.166666666667,5228.518518518518,7018.9
kornia,6.176470588235294,5.2,9.333333333333334,18.294117647058822,15.8,29.166666666666668,18.88235294117647,16.1,29.5,1374.4705882352941,1066.5,1883.6666666666667,18.529411764705884,16.0,29.666666666666668,1522.8823529411766,1298.9,2333.0
kube-hunter,3.533333333333333,3.5,3.9,11.066666666666666,12.125,12.3,8.266666666666667,9.375,9.2,368.06666666666666,555.875,405.6,11.066666666666666,12.125,12.3,428.6666666666667,622.625,484.0
label-studio,5.666666666666667,5.666666666666667,5.666666666666667,48.333333333333336,48.333333333333336,48.333333333333336,26.0,26.0,26.0,1845.6666666666667,1845.6666666666667,1845.6666666666667,55.666666666666664,55.666666666666664,55.666666666666664,10628.666666666666,10628.666666666666,10628.666666666666
labelme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lasagne,8.235294117647058,8.0,7.769230769230769,0.8823529411764706,0.2857142857142857,1.1538461538461537,31.941176470588236,20.0,27.923076923076923,1504.1176470588234,975.5714285714286,1411.3846153846155,0.8823529411764706,0.2857142857142857,1.1538461538461537,94.52941176470588,32.857142857142854,123.61538461538461
LaZagne,1.6666666666666667,1.5,NA,0.0,0.0,NA,5.5,4.0,NA,231.0,35.5,NA,0.0,0.0,NA,0.0,0.0,NA
lbry-sdk,3.8823529411764706,4.064516129032258,4.03125,0.3235294117647059,0.3225806451612903,0.34375,34.0,36.774193548387096,36.125,891.5882352941177,972.0322580645161,952.6875,0.35294117647058826,0.3225806451612903,0.375,12.411764705882353,13.483870967741936,13.1875
lektor,6.769230769230769,7.363636363636363,7.363636363636363,4.615384615384615,5.090909090909091,4.818181818181818,17.846153846153847,19.727272727272727,20.0,721.1538461538462,791.6363636363636,768.0,4.6923076923076925,5.181818181818182,4.909090909090909,250.3846153846154,279.1818181818182,257.0
libcloud,6.408888888888889,8.192307692307692,7.134969325153374,3.897777777777778,5.5,4.693251533742331,22.186666666666667,29.807692307692307,25.45398773006135,1126.4177777777777,1640.1346153846155,1344.8895705521472,4.24,5.788461538461538,5.006134969325154,245.9777777777778,334.75,294.7546012269939
